,Player,Rating,mu,sigma,skill99CI,Player Name,Player DOB
0,1990-12-27Jarrad Redden,"trueskill.Rating(mu=21.161, sigma=7.317)",21.160770415,7.31696822447,-0.790134258401,Jarrad Redden,1990-12-27
1,1987-04-18Stephen Wrigley,"trueskill.Rating(mu=22.721, sigma=8.146)",22.7206637651,8.14573281156,-1.71653466959,Stephen Wrigley,1987-04-18
2,1992-02-25Jack Frost,"trueskill.Rating(mu=23.706, sigma=6.257)",23.7059368533,6.25700812542,4.93491247699,Jack Frost,1992-02-25
3,1986-03-20Beau Maister,"trueskill.Rating(mu=19.524, sigma=6.443)",19.5241665178,6.44257731142,0.196434583582,Beau Maister,1986-03-20
4,1994-03-22Tim Broomhead,"trueskill.Rating(mu=20.587, sigma=7.429)",20.5871019009,7.428898833,-1.69959459806,Tim Broomhead,1994-03-22
5,1997-02-05Blake Hardwick,"trueskill.Rating(mu=25.059, sigma=8.322)",25.0586639513,8.32182801053,0.093179919686,Blake Hardwick,1997-02-05
6,1988-01-28Grant Birchall,"trueskill.Rating(mu=27.222, sigma=4.054)",27.2215072354,4.05358786426,15.0607436426,Grant Birchall,1988-01-28
7,1990-12-09Jack Redden,"trueskill.Rating(mu=26.124, sigma=4.768)",26.1237349364,4.76762416834,11.8208624314,Jack Redden,1990-12-09
8,1985-10-02Bernie Vince,"trueskill.Rating(mu=23.212, sigma=4.529)",23.2116549686,4.52869372052,9.62557380707,Bernie Vince,1985-10-02
9,1986-06-20John Meesen,"trueskill.Rating(mu=28.116, sigma=8.068)",28.1157471001,8.06788272755,3.91209891743,John Meesen,1986-06-20
10,1983-06-07Luke Vogels,"trueskill.Rating(mu=23.237, sigma=7.906)",23.2366686708,7.90614338618,-0.481761487795,Luke Vogels,1983-06-07
11,1984-05-25Luke Ball,"trueskill.Rating(mu=28.840, sigma=4.666)",28.8395753365,4.66562607347,14.8426971161,Luke Ball,1984-05-25
12,1990-12-19Chris Yarran,"trueskill.Rating(mu=19.592, sigma=5.144)",19.5922210982,5.14427476139,4.15939681401,Chris Yarran,1990-12-19
13,1987-01-05Lukas Markovic,"trueskill.Rating(mu=16.946, sigma=7.111)",16.9460935915,7.11056084785,-4.38558895201,Lukas Markovic,1987-01-05
14,1991-03-12Steven Motlop,"trueskill.Rating(mu=21.014, sigma=4.956)",21.0142130425,4.95617243084,6.14569574996,Steven Motlop,1991-03-12
15,1988-05-26Joel Selwood,"trueskill.Rating(mu=35.861, sigma=4.244)",35.8613189788,4.24367459784,23.1302951852,Joel Selwood,1988-05-26
16,1994-05-27Clay Cameron,"trueskill.Rating(mu=20.753, sigma=7.211)",20.7532413331,7.21064333334,-0.878688666954,Clay Cameron,1994-05-27
17,1983-03-21Daniel Pratt,"trueskill.Rating(mu=21.762, sigma=5.096)",21.7620782007,5.09635489476,6.47301351646,Daniel Pratt,1983-03-21
18,1984-05-15Alwyn Davey,"trueskill.Rating(mu=28.754, sigma=5.238)",28.7539326079,5.23827625998,13.0391038279,Alwyn Davey,1984-05-15
19,1977-04-19Shannon Grant,"trueskill.Rating(mu=26.391, sigma=5.800)",26.3906183286,5.80005916455,8.99044083492,Shannon Grant,1977-04-19
20,1981-01-21Des Headland,"trueskill.Rating(mu=26.185, sigma=5.968)",26.1848386558,5.9680283537,8.28075359474,Des Headland,1981-01-21
21,1995-12-13Jack Steele,"trueskill.Rating(mu=24.162, sigma=7.573)",24.1622985357,7.57266358927,1.44430776786,Jack Steele,1995-12-13
22,1992-09-18Tom McDonald,"trueskill.Rating(mu=23.487, sigma=5.583)",23.4869939349,5.58295884664,6.73811739495,Tom McDonald,1992-09-18
23,1981-06-10Brady Rawlings,"trueskill.Rating(mu=21.745, sigma=4.644)",21.7446794705,4.6440728346,7.81246096665,Brady Rawlings,1981-06-10
24,1996-01-09Alex Neal-Bullen,"trueskill.Rating(mu=23.570, sigma=7.589)",23.5698395122,7.58867909392,0.803802230503,Alex Neal-Bullen,1996-01-09
25,1985-06-21Steven Salopek,"trueskill.Rating(mu=21.219, sigma=5.326)",21.2194333239,5.32556118216,5.24274977743,Steven Salopek,1985-06-21
26,1983-03-01Charlie Gardiner,"trueskill.Rating(mu=24.125, sigma=7.263)",24.1245752163,7.26301549455,2.3355287326,Charlie Gardiner,1983-03-01
27,1991-06-21Ryan Neates,"trueskill.Rating(mu=24.755, sigma=8.327)",24.7553813629,8.32747392138,-0.22704040121,Ryan Neates,1991-06-21
28,1992-06-10Troy Davis,"trueskill.Rating(mu=24.157, sigma=8.237)",24.1574543989,8.23670437331,-0.552658721023,Troy Davis,1992-06-10
29,1996-01-24Jayden Short,"trueskill.Rating(mu=19.449, sigma=7.459)",19.4487129427,7.45930593594,-2.92920486518,Jayden Short,1996-01-24
30,1984-04-03Matthew Warnock,"trueskill.Rating(mu=23.208, sigma=5.557)",23.2078100211,5.5569831316,6.53686062633,Matthew Warnock,1984-04-03
31,1977-09-04Rhett Biglands,"trueskill.Rating(mu=28.808, sigma=7.271)",28.8079091439,7.27146724631,6.99350740501,Rhett Biglands,1977-09-04
32,1991-02-26David Astbury,"trueskill.Rating(mu=17.573, sigma=5.726)",17.5728874617,5.72635219666,0.39383087169,David Astbury,1991-02-26
33,1985-08-05Nathan Grima,"trueskill.Rating(mu=33.815, sigma=5.661)",33.8152978714,5.66132174811,16.831332627,Nathan Grima,1985-08-05
34,1993-04-06Tim Golds,"trueskill.Rating(mu=20.669, sigma=8.023)",20.6694297405,8.02256770635,-3.3982733786,Tim Golds,1993-04-06
35,1977-05-08Matthew Robbins,"trueskill.Rating(mu=23.458, sigma=7.252)",23.4579384492,7.25234104794,1.70091530537,Matthew Robbins,1977-05-08
36,1992-08-26Ryan Lester,"trueskill.Rating(mu=28.531, sigma=5.834)",28.5309509686,5.83416924552,11.028443232,Ryan Lester,1992-08-26
37,1989-12-08Cory DellOlio,"trueskill.Rating(mu=26.771, sigma=7.495)",26.7710082181,7.495009522,4.28597965215,Cory DellOlio,1989-12-08
38,1992-04-03Trent McKenzie,"trueskill.Rating(mu=28.621, sigma=5.510)",28.6211751725,5.50978291302,12.0918264334,Trent McKenzie,1992-04-03
39,1990-08-28Mitch Brown,"trueskill.Rating(mu=23.607, sigma=7.172)",23.6070024558,7.17221413266,2.09036005782,Mitch Brown,1990-08-28
40,1980-03-08Stephen Milne,"trueskill.Rating(mu=30.695, sigma=4.188)",30.6947885643,4.18751197371,18.1322526432,Stephen Milne,1980-03-08
41,1992-11-19David Swallow,"trueskill.Rating(mu=22.857, sigma=5.764)",22.8570105918,5.76440065121,5.56380863822,David Swallow,1992-11-19
42,1986-06-06Nathan van Berlo,"trueskill.Rating(mu=24.123, sigma=4.516)",24.1225188822,4.51624353516,10.5737882768,Nathan van Berlo,1986-06-06
43,1986-11-26Eddie Betts,"trueskill.Rating(mu=22.286, sigma=4.282)",22.286211683,4.28203067068,9.44011967099,Eddie Betts,1986-11-26
44,1994-04-08Kaiden Brand,"trueskill.Rating(mu=23.603, sigma=7.705)",23.6025943931,7.70455753641,0.488921783895,Kaiden Brand,1994-04-08
45,1997-01-09Josh Dunkley,"trueskill.Rating(mu=27.706, sigma=7.706)",27.7061358073,7.70633792348,4.58712203689,Josh Dunkley,1997-01-09
46,1990-11-05Taylor Hunt,"trueskill.Rating(mu=26.635, sigma=5.504)",26.6346033893,5.50397479279,10.122679011,Taylor Hunt,1990-11-05
47,1979-08-30Chad Fletcher,"trueskill.Rating(mu=29.895, sigma=5.943)",29.8948964048,5.94270308173,12.0667871596,Chad Fletcher,1979-08-30
48,1993-06-07Michael Hartley,"trueskill.Rating(mu=21.951, sigma=7.632)",21.9507129083,7.63174274961,-0.944515340539,Michael Hartley,1993-06-07
49,1989-02-05James Hawksley,"trueskill.Rating(mu=27.556, sigma=6.722)",27.5557603955,6.72249625119,7.38827164189,James Hawksley,1989-02-05
50,1989-11-07Sam Reid,"trueskill.Rating(mu=25.081, sigma=6.931)",25.0812055586,6.93123647508,4.28749613335,Sam Reid,1989-11-07
51,1992-06-16George Burbury,"trueskill.Rating(mu=24.538, sigma=8.019)",24.537758303,8.01882037182,0.481297187502,George Burbury,1992-06-16
52,1991-10-03Mitch Golby,"trueskill.Rating(mu=30.048, sigma=6.044)",30.0483413991,6.04367538316,11.9173152496,Mitch Golby,1991-10-03
53,1989-10-10Rohan Bewick,"trueskill.Rating(mu=24.009, sigma=5.626)",24.0093898921,5.62609455447,7.13110622869,Rohan Bewick,1989-10-10
54,1996-06-03Marc Pittonet,"trueskill.Rating(mu=23.801, sigma=8.240)",23.8011693595,8.23970361881,-0.917941496954,Marc Pittonet,1996-06-03
55,1992-10-02Harley Bennell,"trueskill.Rating(mu=23.654, sigma=5.756)",23.6537099783,5.7563682455,6.38460524176,Harley Bennell,1992-10-02
56,1994-07-30Michael Close,"trueskill.Rating(mu=23.912, sigma=7.429)",23.912068118,7.42851441736,1.62652486592,Michael Close,1994-07-30
57,1995-07-28Blaine Johnson,"trueskill.Rating(mu=23.187, sigma=8.035)",23.1868372244,8.03469196006,-0.917238655791,Blaine Johnson,1995-07-28
58,1983-03-21Guy Richards,"trueskill.Rating(mu=28.345, sigma=7.146)",28.3446190273,7.14564607859,6.90768079153,Guy Richards,1983-03-21
59,1993-01-07Nathan Wilson,"trueskill.Rating(mu=28.411, sigma=6.364)",28.4109997271,6.3636398316,9.32008023227,Nathan Wilson,1993-01-07
60,1990-10-13Casey Sibosado,"trueskill.Rating(mu=23.461, sigma=8.267)",23.4610110755,8.26711322708,-1.34032860569,Casey Sibosado,1990-10-13
61,1994-11-16Brad Hartman,"trueskill.Rating(mu=24.975, sigma=8.084)",24.9751783831,8.08434727495,0.722136558277,Brad Hartman,1994-11-16
62,1985-07-20David Mundy,"trueskill.Rating(mu=29.646, sigma=4.055)",29.6456330438,4.05452154414,17.4820684114,David Mundy,1985-07-20
63,1985-04-07Brent Hartigan,"trueskill.Rating(mu=26.790, sigma=7.886)",26.7896065123,7.88573124518,3.13241277672,Brent Hartigan,1985-04-07
64,1984-06-16Graham Polak,"trueskill.Rating(mu=16.318, sigma=6.262)",16.3182515496,6.26197941808,-2.46768670459,Graham Polak,1984-06-16
65,1992-11-25Arryn Siposs,"trueskill.Rating(mu=23.055, sigma=6.903)",23.0545586381,6.90250421794,2.34704598427,Arryn Siposs,1992-11-25
66,1980-03-11Antoni Grover,"trueskill.Rating(mu=22.380, sigma=5.222)",22.3801181942,5.22244233247,6.71279119677,Antoni Grover,1980-03-11
67,1992-06-15Kieran Harper,"trueskill.Rating(mu=28.062, sigma=6.749)",28.0615392199,6.74931902576,7.81358214267,Kieran Harper,1992-06-15
68,1984-10-10Jason Winderlich,"trueskill.Rating(mu=23.281, sigma=5.200)",23.2811019801,5.19982172502,7.68163680502,Jason Winderlich,1984-10-10
69,1982-02-23Leigh Brown,"trueskill.Rating(mu=33.008, sigma=5.265)",33.0077172516,5.26473581319,17.2135098121,Leigh Brown,1982-02-23
70,1993-02-11Michael Talia,"trueskill.Rating(mu=20.444, sigma=7.132)",20.4438622663,7.13174193422,-0.95136353636,Michael Talia,1993-02-11
71,1985-03-03Luke Brennan,"trueskill.Rating(mu=27.377, sigma=7.481)",27.3765705063,7.48130434747,4.93265746389,Luke Brennan,1985-03-03
72,1983-07-10Matthew Egan,"trueskill.Rating(mu=23.290, sigma=6.477)",23.2900215462,6.47687102431,3.85940847326,Matthew Egan,1983-07-10
73,1992-08-09Alex Browne,"trueskill.Rating(mu=19.342, sigma=7.749)",19.3419309997,7.74946993227,-3.90647879713,Alex Browne,1992-08-09
74,1996-10-23Nakia Cockatoo,"trueskill.Rating(mu=28.467, sigma=7.370)",28.4666475222,7.3695533373,6.35798751029,Nakia Cockatoo,1996-10-23
75,1987-12-07Tom Derickx,"trueskill.Rating(mu=26.230, sigma=7.492)",26.2303059158,7.49201947431,3.75424749284,Tom Derickx,1987-12-07
76,1988-07-06Leroy Jetta,"trueskill.Rating(mu=24.857, sigma=5.329)",24.8566152241,5.32923090586,8.86892250649,Leroy Jetta,1988-07-06
